Titan IIIE,[empty],Martin Marietta,<ref>astronautix.com  Titan IIIE </ref>,[empty],[empty]
Titan 34D,[empty],Martin Marietta,<ref>astronautix.com  Titan 34D </ref>,[empty],[empty]
Titan IVA,[empty],Martin Marietta,<ref name="gsp-titan"></ref>,with IUS,to SSO<ref name="gsp-titan"/> to GSO with Centaur to escape with IUS }}
Titan IVB,[empty],Lockheed Martin,<ref name="titan4"></ref>,<ref name="titan4" /> (9.000 with upper stage),[empty]
Tsyklon-2A,[empty],Yuzhmash,<ref>astronautix.com  Tsyklon-2A </ref>,[empty],[empty]
Tsyklon-2,[empty],Yuzhmash,<ref>astronautix.com  Tsyklon-2 </ref>,[empty],[empty]
Tsyklon-3,[empty],Yuzhmash,<ref>nasaspaceflight.com  Tsyklon-3</ref>,[empty],[empty]
Vanguard,[empty],Martin,<ref>astronautix.com  vanguard </ref>,[empty],[empty]
Vector-R,[empty],Vector Space Systems,<ref name=vector-space-com></ref>,[empty],[empty]
Vector-H,[empty],Vector Space Systems,<ref name=gsp-vector></ref>,[empty],[empty]
VLS-1,[empty],AEB  IAE,<ref></ref>,[empty],[empty]
Volna,[empty],Makeyev,<ref></ref>,[empty],[empty]
Voskhod,[empty],RSC Energia,<ref>Handbook of Space Engineering  Archaeology  and Heritage by Ann Darrin  Beth L. O'Leary  page 116</ref>,[empty],[empty]
Vostok-L,[empty],RSC Energia,[empty],[empty],to TLI<ref></ref>
Vostok-K,[empty],RSC Energia,<ref name="Spacecraft - Vostok"></ref>,[empty],[empty]
Vostok-2,[empty],RSC Energia,<ref name="Spacecraft - Vostok"/>,[empty],[empty]
Vostok-2M,[empty],RSC Energia,<ref></ref>,[empty],[empty]
Soyuz/Vostok,[empty],RSC Energia,<ref>astronautix.com  Soyuz/Vostok </ref>,[empty],[empty]
Zenit-2,[empty],Yuzhnoye,<ref name="slr_zenit"></ref>,[empty],[empty]
Zenit-2M / 2SLB,[empty],Yuzhnoye,<ref name="slr_zenit"/>,[empty],[empty]
